Model,ARIMA_Order,Diffs,Mod_Order,Trend,Intercept,Date,Fourier,Fourier_m,Fourier_k,BoxCox,Log,Scored,AIC,RMSE,RMSE%,SMAPE,CV_Time
0,"(0, 1, 1)",1,1,t,True,True,False,,,False,False,True,11696.1158,4.2332,2.1083,0.9189,1166.6256
1,"(1, 1, 0)",1,1,t,True,True,False,,,False,False,True,11687.1865,4.2384,2.1109,0.9196,1070.7578
2,"(0, 1, 1)",1,1,ct,True,True,False,,,False,False,True,11690.1209,4.2335,2.1084,0.9202,1493.3254
3,"(1, 1, 0)",1,1,ct,True,True,False,,,False,False,True,11688.6324,4.2355,2.1094,0.9204,1194.6812
4,"(1, 1, 0)",1,1,c,True,True,False,,,False,False,True,11688.2106,4.2414,2.1124,0.9229,489.5715
5,"(0, 1, 1)",1,1,c,True,True,False,,,False,False,True,11688.7945,4.2417,2.1125,0.9233,443.2333
6,"(0, 1, 0)",1,0,t,True,True,False,,,False,False,True,11696.5939,4.245,2.1142,0.9244,816.8345
7,"(0, 1, 0)",1,0,ct,True,True,False,,,False,False,True,11734.0219,4.242,2.1127,0.9251,961.8121
8,"(0, 1, 0)",1,0,c,True,True,False,,,False,False,True,11698.1822,4.2458,2.1145,0.9268,474.7266
9,"(2, 1, 2)",1,0,c,True,True,False,252.0,4.0,False,False,True,11677.9819,4.2486,2.116,0.927,423.0936
10,"(1, 0, 0)",0,1,t,True,True,False,,,False,False,True,11709.8696,4.2487,2.116,0.9293,665.6685
11,"(1, 0, 0)",0,1,c,True,True,False,,,False,False,True,11717.8709,4.251,2.1171,0.9326,304.8931
12,"(1, 0, 0)",0,1,ct,True,True,False,,,False,False,True,11718.8391,4.2711,2.1272,0.9396,794.4483
13,"(0, 0, 1)",0,1,ct,True,True,False,,,False,False,True,18635.9516,18.429,9.1783,4.2585,860.1584
14,"(0, 0, 1)",0,1,t,True,True,False,,,False,False,True,18664.293,18.6051,9.2659,4.291,993.4033
15,"(0, 0, 0)",0,0,ct,True,True,False,,,False,False,True,21659.4894,33.8235,16.8452,7.8747,397.2613
16,"(0, 0, 0)",0,0,t,True,True,False,,,False,False,True,21684.1802,34.0518,16.959,7.9191,301.9317
17,"(0, 0, 1)",0,1,c,True,True,False,,,False,False,True,25160.3371,61.0199,30.39,19.0629,676.9898
18,"(0, 0, 0)",0,0,c,True,True,False,,,False,False,True,28537.0453,119.3751,59.4528,41.6503,198.1101
19,"(0, 1, 1)",1,1,t,True,True,True,1008.0,2.0,False,False,True,11527.8778,4.0402,2.0211,0.8897,1047.1679
